nora;Cinema;2;via Firenze 21, Solaro, Cinemamico;Tutto sommato il cinema non era così male, forse rivedrei le proiezioni se non volete creare un dormitorio.;Il volume era così alto che ho sentito il film nei denti.|Sedili così scomodi che ho preferito stare in piedi.
Sofia13440;Parchi;3;Via Don luigi 32, Mariano, Bar conSorriso;Colazione eccezzionale, costo spaziale(un viaggio da qui allo spazio pagavi meno).;Il bar di "Ai miei tempi".|Qui lo spritz ti fa dimenticare il nome del tuo capo.|Prezzi da jet privato, servizio da autogrill.
nora;Bar;1;Via matti 33 Lomazzo, Bar cometa;Se la colazzione fosse una tragedia verrei sempre qui.;Il caffè era così corto che sembrava un errore di sistema.|Il barista sorrideva meno di un mercoledì di pioggia.
Eleonora;Parchi;2;Parco dei dodici, Bregnano;Perfertto se vuoi che tuo figlio di 5 anni inizi ad avere una dipendenza da fumo.;Le giostre cigolano più delle mie articolazioni.|Tipico parco per un salto dallo spaccino.
Nikx;Parchi;3;Parco degli aironi, Limbiate;Strane priorità, giostre e panchine distrutte ma sia mai che l'erba cresca troppo.;Parco così curato che ogni filo d’erba ha nome e cognome|Panchine così sporche che i piccioni le evitano.
Eleonora;Ristoranti;5;Ristorante del mare, via cometa 15, Castellammare;Ottimo, forse metterei dei camerieri più boni per attirare clienti più giovani.;Il pesce era così fresco che ha provato a mangiarmi l'insalata.
Nikx;Cinema;4;Via aldo 34, Solaro, cinema le tre cime;Scoperta del secolo, nient'altro da dire se non wow;Ci vado solo per il pop-corn, poi scopro che fanno anche ottimi film.|Si stava così comodi che mi sono svegliato ai titoli di coda.
M4tt3o;Parchi;5;Parco Verde, Castellanza;Talmente curato che ho avuto paura di esser entrato nella corte di qualche re.;Parco così curato che ogni filo d’erba ha nome e cognome|Ho lasciato il mio cuore (e forse anche una scarpa) su quelle giostre!.
nick;Ristoranti;5;Ristorante Pizzeria;Tutto il cibo gasava, ma since anche la cameriera;Camerieri simpatici, cibo ottimo: rischio dipendenza!.|Il sapore era talmente intenso che ho dovuto fare una pausa di riflessione.
nick;Parchi;1;Parco giochi comunale;Parco così mal concio che sembra ci sia stato filmato Hunger Games e poi dove è stato replicato il parco di The Last of Us dove si nascondevano i serafiti... Lo consiglierei solo a chi piace fare urbex nei posti abbandonati.;Panchine così sporche che i piccioni le evitano.|Area giochi così pericolosa che sembra un set di Hunger Games.
matteo;Ristoranti;4;casaMatteo caronno;buono, costoso ma tanto paga matteo;Camerieri simpatici, cibo ottimo: rischio dipendenza!.|Il sapore era talmente intenso che ho dovuto fare una pausa di riflessione.|Il conto era più salato dell'acqua di mare.
